term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,outcome
FOF_status_fFOF,-0.6280733048779148,0.5324900409042194,-1.1795024444239104,0.23930610403299818,-1.6767510998334914,0.42060449007766176,base,HGS
Puristus0,-0.2172210710986563,0.041360082605182084,-5.251949643626685,3.193186354522959e-7,-0.29867498928261077,-0.13576715291470182,base,HGS
Age,-0.1197403175113084,0.03971935649569828,-3.014659049782859,0.0028343183680411476,-0.19796301462735746,-0.04151762039525933,base,HGS
BMI,-0.027501561154357763,0.05267675613072065,-0.5220815246502827,0.6020703627505999,-0.13124236421383348,0.07623924190511797,base,HGS
Sex_fmale,1.2978079830260967,0.9286749437048073,1.3974835778907626,0.16349244715992847,-0.5311103391665744,3.1267263052187677,base,HGS
(Intercept),16.23731739682146,3.802514589073967,4.27015255733069,2.8496734616431694e-5,8.745443690409655,23.729191103233266,extended,HGS
FOF_status_fFOF,-0.5055250117735495,0.5531471375056668,-0.9139069471698578,0.3617145494618377,-1.5953586989770698,0.5843086754299709,extended,HGS
Puristus0,-0.24841914093692122,0.04411862993564942,-5.63070841726637,5.163709028068874e-8,-0.3353435158038956,-0.16149476606994684,extended,HGS
Age,-0.10175114733586735,0.04717419976266904,-2.156923654195982,0.032039406862163604,-0.194695734015028,-0.008806560656706722,extended,HGS
BMI,-0.04367390740858893,0.06386598658992618,-0.6838367296979607,0.494760714379366,-0.1695053524849485,0.08215753766777065,extended,HGS
Sex_fmale,1.2220959835283238,0.9998102138643091,1.2223279644292397,0.22282399720456456,-0.747772028069797,3.1919639951264447,extended,HGS
MOI_score,-0.16420148064614878,0.1107428790233594,-1.4827272154583697,0.13950400358013718,-0.38239174503366846,0.05398878374137092,extended,HGS
diabetes,-1.6699320719198913,0.7603051653472542,-2.1963971153045936,0.029053727068671802,-3.1679171929977192,-0.17194695084206346,extended,HGS
alzheimer,1.7360739476927016,1.7133245725934547,1.0132779132822518,0.31198301706778747,-1.6395899755555516,5.111737870940955,extended,HGS
parkinson,-1.8863015042907525,1.6057221549388359,-1.174737172610416,0.2413042053128438,-5.0499626318391995,1.2773596232576947,extended,HGS
AVH,0.42103263640921523,0.7517205880997876,0.5600919318619554,0.5759571405725001,-1.0600387905710922,1.9021040633895225,extended,HGS
previous_falls,-0.7372761689538004,0.5678462641241346,-1.2983728440848339,0.19544840667206997,-1.8560706918465626,0.38151835393896183,extended,HGS
psych_score,0.6342482442507451,0.34417091905411606,1.842829272135623,0.06662976418585029,-0.043851733690709827,1.3123482221922,extended,HGS
(Intercept),1.9259706902882585,0.3668680964792901,5.249763358469031,3.43796399431118e-7,1.203151781550318,2.648789599026199,base,MWS
FOF_status_fFOF,-0.027239303566098813,0.04698071280432102,-0.5797975794780512,0.5626137530868226,-0.1198026741258141,0.06532406699361647,base,MWS
kavelynopeus_m_sek0,-0.33597111934828316,0.05281580370401434,-6.361185398807955,1.0553713967958901e-9,-0.4400310307001224,-0.23191120799644396,base,MWS
Age,-0.015789664615026195,0.003638765245502586,-4.339291916273463,2.1342271757519645e-5,-0.022958912497708185,-0.008620416732344203,base,MWS
BMI,-0.009484999473944713,0.004649866990749969,-2.039843181065894,0.04249896427824462,-0.01864636241687969,-3.236365310097331e-4,base,MWS
Sex_fmale,-0.07922831977853692,0.06973633543750601,-1.1361124624843115,0.2570817180738816,-0.21662577233453084,0.058169132777457,base,MWS
(Intercept),2.219461740157539,0.38382773309022267,5.782442353210136,2.5987202957647408e-8,1.4628743744500956,2.9760491058649827,extended,MWS
FOF_status_fFOF,-0.014582450752958345,0.048941942624297435,-0.2979540649806333,0.7660286496959354,-0.11105504053848596,0.08189013903256927,extended,MWS
kavelynopeus_m_sek0,-0.4058001352725533,0.05648204110526106,-7.184586947137694,1.11580744146459e-11,-0.5171354948766078,-0.29446477566849877,extended,MWS
Age,-0.010590324745672904,0.004218761244227666,-2.5102925082956875,0.01280663841486633,-0.018906194551694934,-0.0022744549396508714,extended,MWS
BMI,-0.01990844393055419,0.005734063606843695,-3.47196077608786,6.255433810035659e-4,-0.031211223029325115,-0.008605664831783268,extended,MWS
Sex_fmale,-0.09854973028519884,0.07767697159207643,-1.2687123128684328,0.20592844235028374,-0.25166377141981033,0.05456431084941263,extended,MWS
MOI_score,-0.029587299931667123,0.009768096153535142,-3.0289730431205135,0.002757141766917477,-0.04884181829926765,-0.010332781564066598,extended,MWS
diabetes,-0.011015388575777687,0.063323485609014,-0.17395423624958609,0.8620666429986438,-0.13583635651004478,0.1138055793584894,extended,MWS
alzheimer,0.19922712369551138,0.145329012935805,1.370869585301005,0.17185836416536568,-0.08724017811386003,0.4856944255048828,extended,MWS
parkinson,-0.006156255897519241,0.14777984601818134,-0.0416582914612175,0.9668101267342654,-0.2974545513681744,0.28514203957313594,extended,MWS
AVH,-0.14485777075798992,0.06497219127877071,-2.229534942672025,0.02682232371102065,-0.2729286077662432,-0.01678693374973661,extended,MWS
previous_falls,0.008070950056207463,0.04955049977095875,0.16288332294355176,0.8707647300995831,-0.08960120559906072,0.10574310571147565,extended,MWS
psych_score,-0.00320240484768489,0.029887177431018316,-0.1071497920831187,0.9147710012798482,-0.06211492963820038,0.055710119942830594,extended,MWS
(Intercept),21.252592862360704,7.764425780884878,2.7371750934476236,0.006653014411399696,5.958739471275761,36.546446253445644,base,FTSST
FOF_status_fFOF,-1.1537590085529252,1.2378211218243713,-0.9320886420587569,0.352212076437569,-3.5919373485631167,1.2844193314572665,base,FTSST
Tuoli0,-0.42463756472609887,0.05864543717018101,-7.240760495890907,5.799858869646517e-12,-0.5401534758118784,-0.30912165364031935,base,FTSST
Age,-0.28690438265907214,0.08667523844613147,-3.310107797827205,0.0010736329662362888,-0.457631546114731,-0.11617721920341331,base,FTSST
BMI,-0.15323772084732343,0.12268597450662955,-1.249023952929868,0.21285325055805274,-0.394896455208094,0.08842101351344714,base,FTSST
Sex_fmale,-4.239404477392992,1.9008120717717856,-2.230312265136951,0.026636732962782815,-7.98349862808356,-0.49531032670242414,base,FTSST
(Intercept),20.253919855488203,8.114023134039272,2.4961624487513046,0.013271893413926624,4.2647229195624,36.243116791414,extended,FTSST
FOF_status_fFOF,-0.9318551293926391,1.3085578971266556,-0.7121237290599185,0.4771259121134984,-3.5104514155488236,1.6467411567635455,extended,FTSST
Tuoli0,-0.45051577028518136,0.061317432553784273,-7.347270613296043,3.6943080199436036e-12,-0.5713456580624103,-0.32968588250795244,extended,FTSST
Age,-0.1386545242020811,0.10846593398403856,-1.278323240387023,0.20245257116434354,-0.35239352280493197,0.07508447440076979,extended,FTSST
BMI,-0.3036321862082207,0.15382533506086848,-1.9738763194507187,0.04961933845729319,-0.6067547599786758,-5.096124377655942e-4,extended,FTSST
Sex_fmale,-5.1779617643425135,2.1125769042806497,-2.4510169328513287,0.015007794693578956,-9.340928471095841,-1.0149950575891857,extended,FTSST
MOI_score,-0.6061614803671944,0.25907793163640064,-2.339687817246833,0.020175711413703185,-1.1166909676826395,-0.09563199305174919,extended,FTSST
diabetes,-0.46707319019203847,1.7368465997052085,-0.2689202317990051,0.788237492619951,-3.889639514125477,2.9554931337414,extended,FTSST
alzheimer,0.05038541116148899,3.991109810459176,0.012624411142346434,0.989938631478102,-7.814349467967388,7.915120290290367,extended,FTSST
parkinson,5.043866390342536,3.679039561304413,1.3709736756824162,0.17174909554345794,-2.205914280602446,12.293647061287517,extended,FTSST
AVH,-5.063994937369238,1.7481394096196214,-2.896791245310988,0.004142039387362901,-8.508814459093553,-1.6191754156449232,extended,FTSST
previous_falls,0.7576392406936849,1.350009910920747,0.5612101322848455,0.5752127986551634,-1.9026408662990446,3.4179193476864143,extended,FTSST
psych_score,-0.3390493144718129,0.8164748558940934,-0.4152599581288167,0.6783473269774971,-1.947964774591219,1.269866145647593,extended,FTSST
(Intercept),24.80447885773356,8.0889604254031,3.066460651709453,0.0024069591159331205,8.872343049766087,40.73661466570103,base,SLS
FOF_status_fFOF,-0.646705786893957,1.053519218164909,-0.613852861669133,0.5398774906241373,-2.7217327838607024,1.4283212100727884,base,SLS
Seisominen0,-0.23436715871081207,0.04021017817713764,-5.828553101116736,1.7387286253675833e-8,-0.31356571895705065,-0.1551685984645735,base,SLS
Age,-0.26883212880936086,0.0843567873676295,-3.1868464553750973,0.0016236908736454946,-0.4349825019085015,-0.10268175571022023,base,SLS
BMI,-0.04478000826385745,0.11025492240284838,-0.4061497417796975,0.684984226028978,-0.26193973026009393,0.17237971373237904,base,SLS
Sex_fmale,-0.6622103962181037,1.6327350984739344,-0.40558348799940097,0.6853997619646307,-3.878069537477972,2.5536487450417646,base,SLS
(Intercept),29.347586964422575,8.214073799297681,3.5728418908205875,4.311794074118687e-4,13.162004968237227,45.533168960607924,extended,SLS
FOF_status_fFOF,0.301315679160184,1.0847990126890126,0.2777617564504222,0.7814480609338184,-1.8362477026979351,2.438879061018303,extended,SLS
Seisominen0,-0.2608622185013407,0.041198366366542345,-6.331858311575914,1.2821702234659663e-9,-0.3420423433976583,-0.17968209360502313,extended,SLS
Age,-0.25128417009727055,0.09626415111200931,-2.61036083728496,0.0096468050456599945,-0.4409697450247594,-0.061598595169781695,extended,SLS
BMI,-0.1451946500039493,0.13124301747811198,-1.1063038079581193,0.26976608234284205,-0.4038050146929535,0.11341571468505493,extended,SLS
Sex_fmale,-0.05082286044982497,1.769701347092805,-0.02871832613639287,0.9771144722488156,-3.537965411394442,3.436319690494792,extended,SLS
MOI_score,-0.24030851747781756,0.21587978012598394,-1.1131589875512076,0.2668175148922327,-0.6656930426139727,0.18507600765833748,extended,SLS
diabetes,-1.8159508689565922,1.434136839439578,-1.266232634862247,0.2067276648055595,-4.6418737880426235,1.009972050129439,extended,SLS
alzheimer,2.931908994781915,3.0457154490769436,0.9626339176466667,0.3367555824055214,-3.069580441835796,8.933398431399626,extended,SLS
parkinson,-3.6954580013107807,3.090370868123287,-1.1957975786753872,0.23302318852562132,-9.784939579733988,2.3940235771124274,extended,SLS
AVH,-0.5154068545009115,1.472483489682609,-0.35002555757824255,0.7266440645098355,-3.416890678803144,2.386076969801321,extended,SLS
previous_falls,-0.6829272761053883,1.1218164156915105,-0.6087691948102025,0.5432861478485613,-2.8934323220174627,1.5275777698066864,extended,SLS
psych_score,-0.32264618589119415,0.6803042740994126,-0.474267468506373,0.6357650718164065,-1.6631650173305788,1.0178726455481903,extended,SLS
